object_id,object_type,cleaned_full_text_len,embedding_text_len_before_enrich,embedding_text_len_after_enrich,enriched_true_false,still_thin_true_false,num_chunks
accessibility_supaccessibility_support-accessible-restrooms-campusport,accessibility_support,523,987,987,False,False,1
accessibility_support-anti-discrimination-officers,accessibility_support,423,957,957,False,False,1
accessibility_support-barrier-free-campus,accessibility_support,1551,2106,2106,False,False,6
accessibility_support-barrier-free-education,accessibility_support,498,989,989,False,False,1
accessibility_support-counselling-complaints-antidiscrimination,accessibility_support,1581,2210,2210,False,False,5
accessibility_support-disability-representation,accessibility_support,1758,2145,2145,False,False,6
accessibility_support-disadvantage-compensation,accessibility_support,4012,4419,4419,False,False,6
accessibility_support-equal-opportunities-officer,accessibility_support,1899,2317,2317,False,False,6
accessibility_support-maternity-protection,accessibility_support,1600,2010,2010,False,False,6
accessibility_support-room-of-silence-usage-rules,accessibility_support,1039,1596,1596,False,False,4
accessibility_support-sexualised-discrimination-violence,accessibility_support,6948,7642,7642,False,False,10
accessibility_support,accessibility_support,2065,2796,2796,False,False,4
application_process-accepting-study-place,application_process,2841,3552,3552,False,False,8
application_process-certificate-assessment,application_process,2907,3743,3743,False,False,8
application_process-change-notification,application_process,1293,1755,1755,False,False,4
application_process-changing-study-programme,application_process,3256,3790,3790,False,False,8
application_process-changing-university,application_process,2100,2934,2934,False,False,4
application_process-clearing,application_process,1416,2015,2015,False,False,6
application_process-dsh-registration,application_process,2520,3273,3273,False,False,4
application_process-enrolment,application_process,3011,3873,3873,False,False,8
application_process-exchange-nomination-application,application_process,9662,11211,11211,False,False,14
application_process-exmatriculation,application_process,2473,2968,2968,False,False,4
application_process-htw-foundation-application,application_process,491,1043,1043,False,False,4
application_process-htw-portal-bachelors,application_process,2350,3047,3047,False,False,4
application_process-htw-portal-masters,application_process,3196,4222,4222,False,False,6
application_process-language-course-registration,application_process,3104,3688,3688,False,False,9
application_process-module-registration,application_process,4768,5969,5969,False,False,8
application_process-paperless-applications,application_process,1201,1889,1889,False,False,6
application_process-studying-abroad,application_process,1895,2336,2336,False,False,6
application_process-withdrawing-from-your-study-place,application_process,1894,2480,2480,False,False,5
application_route_rule-accreditation-modules-abroad,application_route_rule,2907,3416,3416,False,False,4
application_route_rule-assessment-foreign-education-refugees,application_route_rule,3014,3712,3712,False,False,8
application_route_rule-changing-required-documents,application_route_rule,4069,4586,4586,False,False,6
application_route_rule-documents-required-in-advance,application_route_rule,1808,2476,2476,False,False,5
application_route_rule-dual-enrolment,application_route_rule,1483,1890,1890,False,False,6
application_route_rule-examinations,application_route_rule,3805,4281,4281,False,False,8
application_route_rule-final-thesis,application_route_rule,4225,4751,4751,False,False,6
application_route_rule-health-insurance,application_route_rule,4081,4486,4486,False,False,6
application_route_rule-internship-assessment,application_route_rule,1195,1634,1634,False,False,5
application_route_rule-leave-of-absence,application_route_rule,1762,2146,2146,False,False,6
application_route_rule-mandatory-aptitude-test,application_route_rule,1034,1454,1454,False,False,4
application_route_rule-module-registration-special,application_route_rule,2851,3312,3312,False,False,4
application_route_rule-numerus-clausus,application_route_rule,4040,4542,4542,False,False,6
application_route_rule-part-time-study,application_route_rule,1889,2260,2260,False,False,6
application_route_rule-pre-study-internship,application_route_rule,2810,3271,3271,False,False,4
application_route_rule-preferential-admission,application_route_rule,1294,1674,1674,False,False,5
application_route_rule-required-documents-bachelor-refugees,application_route_rule,4305,5237,5237,False,False,7
application_route_rule-supplementary-modules,application_route_rule,1990,2413,2413,False,False,5
application_route_rule-testas,application_route_rule,1164,1519,1519,False,False,5
application_route_rule-visa-residence-permit-international-students,application_route_rule,2393,3188,3188,False,False,4
application_route_rule-visa-residence-permit-international,application_route_rule,2393,3024,3024,False,False,4
application_route_rule-visa-residence-uni-assist,application_route_rule,1251,1681,1681,False,False,4
application_route_rule-voluntary-academic-test,application_route_rule,1689,2188,2188,False,False,5
curriculum-core-courses-in-wintecurriculum_page-aeco-bachelor-core-coursesr-and-summer-semester,curriculum_page,5011,5680,5680,False,False,7
curriculum-elective-coursescurriculum_page-information-technology-master-electives,curriculum_page,4079,4667,4667,False,False,6
curriculum-elective-coursescurriculum_page-international-business-bachelor-electives,curriculum_page,11685,12296,12296,False,False,16
curriculum_page-design-bachelor-core-courses,curriculum_page,5789,6369,6369,False,False,8
curriculum_page-electrical-engineering-master-elective-courses,curriculum_page,1925,2606,2606,False,False,5
curriculum_page-electrical-engineering-master-electives,curriculum_page,4585,5189,5189,False,False,7
curriculum_page-environmental-engineering-sustainability-core-courses,curriculum_page,5646,6297,6297,False,False,8
curriculum_page-environmental-engineering-sustainability-electives,curriculum_page,1889,2591,2591,False,False,5
curriculum_page-information-technology-bachelor-electives,curriculum_page,10680,11223,11223,False,False,14
curriculum_page-language-modules-arabic,curriculum_page,527,924,924,False,False,1
curriculum_page-language-modules-english,curriculum_page,5430,5829,6822,True,True,9
curriculum_page-language-modules-french,curriculum_page,699,1094,1094,False,False,5
curriculum_page-language-modules-german,curriculum_page,2127,2589,2589,False,False,4
curriculum_page-language-modules-italian,curriculum_page,353,752,1745,True,False,5
curriculum_page-language-modules-japanese,curriculum_page,350,753,1746,True,False,5
curriculum_page-language-modules-russian,curriculum_page,246,645,1638,True,False,5
curriculum_page-language-modules-spanish,curriculum_page,809,1208,1208,False,False,4
curriculum_page-sustainable-clothing-apparel-technology-electives,curriculum_page,4665,5298,5298,False,False,7
deadline_rule-academic-calendar,deadline_rule,1941,2637,4700,True,True,6
deadline_rule-application-periods,deadline_rule,3378,3765,5691,True,True,7
degree_program-advanced-masters,degree_program,1747,2025,2025,False,False,6
degree_program-aeco-bachelor,degree_program,2531,3245,3245,False,False,4
degree_program-design-bachelor,degree_program,3470,4077,4077,False,False,8
degree_program-electrical-engineering-master,degree_program,1862,2486,2486,False,False,6
degree_program-electrical-engineering-sustainable-renewable-energy-master,degree_program,2706,3356,3356,False,False,4
degree_program-environmental-engineering-sustainability-bachelor,degree_program,2102,2836,2836,False,False,4
degree_program-information-technology-bachelor,degree_program,1980,2550,2550,False,False,5
degree_program-international-business-bachelor,degree_program,2126,2732,2732,False,False,4
degree_program-sustainable-clothing-apparel-technology-bachelor,degree_program,2178,2930,2930,False,False,4
family_support-students-with-children,family_support,5921,6491,6491,False,False,8
faq_support-advanced-masters,faq_support,3808,4201,4201,False,False,6
faq_support-module-registration,faq_support,3308,3724,3724,False,False,8
faq_support-uni-assist,faq_support,2159,2500,2500,False,False,5
fees_funding_rule-daad-funding-international-students,fees_funding_rule,1733,2504,2504,False,False,5
fees_funding_rule-further-funding-studying-abroad,fees_funding_rule,4874,5968,5968,False,False,8
fees_funding_rule-living-in-berlin,fees_funding_rule,2139,2571,2571,False,False,5
fees_funding_rule-promos-internships-abroad,fees_funding_rule,2065,2694,2694,False,False,4
fees_funding_rule-promos-internships-fees_funding_rule-erasmus-placement-fundingabroad,fees_funding_rule,3851,4416,4416,False,False,6
fees_funding_rule-reimbursement,fees_funding_rule,1736,2185,2185,False,False,6
fees_funding_rule-scholarships,fees_funding_rule,2719,3190,5008,True,True,7
fees_funding_rule-semester-fee,fees_funding_rule,1221,1698,3531,True,False,8
fees_funding_rule-semester-ticket,fees_funding_rule,632,973,973,False,False,1
language_proof_rule-english-proficiency-uni-assist,language_proof_rule,2397,2824,2824,False,False,4
language_proof_rule-german-language-test-for-university-entry-dsh,language_proof_rule,2889,3537,3537,False,False,8
language_proof_rule-german-proficiency-uni-assist,language_proof_rule,2957,3466,3466,False,False,5
language_proof_rule-language-certificates-admission,language_proof_rule,1582,2084,2084,False,False,6
language_proof_rule-language-certificates,language_proof_rule,343,949,3010,True,False,4
language_proof_rule-language-courses-international-students,language_proof_rule,1345,2146,2146,False,False,6
language_proof_rule-language-examinations,language_proof_rule,2501,2943,2943,False,False,4
language_proof_rule-language-levels,language_proof_rule,600,1012,1012,False,False,3
msc-information-tedegree_program-information-technology-masterchnology,degree_program,1212,1825,1825,False,False,6
overview_navigation-admission-or-refusal,overview_navigation,1216,1668,1668,False,False,4
overview_navigation-admission-requirements,overview_navigation,1466,2170,2170,False,False,5
overview_navigation-application-uni-assist,overview_navigation,4688,5159,5159,False,False,7
overview_navigation-applications-bachelors,overview_navigation,1798,2133,4021,True,False,8
overview_navigation-applications-masters,overview_navigation,1783,2108,3996,True,True,8
overview_navigation-applications,overview_navigation,102,442,2314,True,True,5
overview_navigation-assessment-academic-achievements,overview_navigation,239,790,2818,True,False,4
overview_navigation-changing-study-programme,overview_navigation,4188,4708,4708,False,False,6
overview_navigation-current-students,overview_navigation,1556,2091,2091,False,False,6
overview_navigation-degree-programmes-filtered-bachelors,overview_navigation,140,484,484,False,False,1
overview_navigation-degree-programmes-filtered-masters,overview_navigation,140,490,490,False,False,1
overview_navigation-degree-programmes,overview_navigation,140,443,443,False,False,1
overview_navigation-equal-opportunities-antidiscrimination,overview_navigation,2266,2671,2671,False,False,4
overview_navigation-financing-your-studies,overview_navigation,2064,2512,2512,False,False,6
overview_navigation-htw-application-portal,overview_navigation,4011,4616,4616,False,False,6
overview_navigation-htw-foundation,overview_navigation,749,1568,1568,False,False,5
overview_navigation-international-degree-seeking-students,overview_navigation,463,1012,1012,False,False,3
overview_navigation-international-getting-started,overview_navigation,742,1372,1372,False,False,4
overview_navigation-international-office,overview_navigation,691,1233,1233,False,False,5
overview_navigation-internships-abroad,overview_navigation,1282,1795,1795,False,False,4
overview_navigation-language-modules,overview_navigation,3649,4067,4067,False,False,6
overview_navigation-pathoverview_navigation-pathways-to-htw-berlinways-to-htw-berlin,overview_navigation,411,1018,1018,False,False,4
overview_navigation-pathways-abroad,overview_navigation,178,543,1895,True,False,6
overview_navigation-prospective-students,overview_navigation,1072,1471,1471,False,False,4
overview_navigation-re-registration,overview_navigation,2064,2626,2626,False,False,5
overview_navigation-refugees-pathways-into-studying,overview_navigation,3939,4579,4579,False,False,6
overview_navigation-special-cases,overview_navigation,1977,2469,2469,False,False,5
overview_navigation-student-advisory-services,overview_navigation,880,1434,1434,False,False,4
overview_navigation-student-exchange-programmes-htw,overview_navigation,3644,4320,4320,False,False,6
overview_navigation-student-service-centre,overview_navigation,1527,1957,1957,False,False,6
overview_navigation-student-services,overview_navigation,2074,2374,2374,False,False,5
overview_navigation-study-organisation,overview_navigation,2157,2831,2831,False,False,4
overview_navigation-studying-abroad,overview_navigation,1086,1485,1485,False,True,5
